date,revenue,cost_of_sales,expenses,gross_profit,net_income
2025-01-01,45745.07,18758.92,8296.77,26986.15,18689.38
2025-02-01,48368.92,19608.79,8118.5,28760.129999999997,20641.629999999997
2025-03-01,52493.36,22780.04,9050.35,29713.32,20662.97
2025-04-01,55679.25,23272.4,10081.32,32406.85,22325.53
2025-05-01,53723.19,22597.5,9891.71,31125.690000000002,21233.980000000003
2025-06-01,53446.7,21735.24,9671.82,31711.459999999995,22039.639999999996
2025-07-01,55457.35,23019.9,9947.63,32437.449999999997,22489.82
2025-08-01,53750.49,22630.67,9584.76,31119.82,21535.059999999998
2025-09-01,52213.19,21354.04,8954.82,30859.15,21904.33
2025-10-01,55201.83,23372.62,9720.38,31829.210000000003,22108.83
2025-11-01,56315.97,23352.39,9998.68,32963.58,22964.9
2025-12-01,59742.88,24946.16,11070.86,34796.72,23725.86
2026-01-01,64454.97,26770.23,11704.98,37684.740000000005,25979.760000000006
2026-02-01,64439.8,27990.86,11070.25,36448.94,25378.690000000002
2026-03-01,66983.8,28126.45,12154.31,38857.350000000006,26703.040000000008
2026-04-01,69796.05,28785.49,12447.76,41010.56,28562.799999999996
2026-05-01,69115.89,29439.95,12237.78,39675.94,27438.160000000003
2026-06-01,70471.37,28987.55,12868.35,41483.81999999999,28615.469999999994
